eng	kin
Rwanda Welcomes the Arrest of Former Rebel Leader	U Rwanda rwishimiye ifatwa ry'uwahoze ayobora inyeshyamba
Rwandas Justice Minister said his government is pleased with the arrest Monday of a former rebel leader accused of masterminding genocide and violating human rights against Rwandans and Congolese villagers in 1994.	Minisitiri w’ubutabera mu Rwanda yavuze ko guverinoma ye yishimiye itabwa muri yombi ku wa Mbere ry’uwahoze ari umuyobozi w’inyeshyamba ushinjwa kuba yarateguye itsembabwoko no guhonyora uburenganzira bwa muntu ku banyarwanda ndetse n’abaturage bo muri Kongo mu 1994.
French authorities arrested Callixte Mbarushimana, a former leader of the infamous Democratic Forces for the Liberation of Rwanda (FDLR), an ethnic Hutu rebel group.	Abategetsi b'Abafaransa bata muri yombi Callixte Mbarushimana, wahoze ayobora ingabo za demokarasi zizwi cyane zo kubohoza u Rwanda (FDLR), umutwe w'inyeshyamba z’Abahutu.
Tharcisse Karugarama welcomed the decision of French authorities to enforce the international arrest warrant issued by his government and the International Criminal Court (ICC) against the former rebel leader.	Tharcisse Karugarama yishimiye icyemezo cy'abategetsi b'Abafaransa cyo gushyira mu bikorwa icyemezo mpuzamahanga cya guverinoma ye ndetse n'Urukiko mpuzamahanga mpanabyaha (ICC) cyo guta muri yombi uwahoze ari umuyobozi w'inyeshyamba.
"It is good news that Callixte Mbarushimana has been (arrested) by the French judicial authority. Good news in the sense that, first, there was an international arrest warrant against him issued by the Rwandan government in respect of (the alleged) act of genocide committed in Rwanda in 1994."	Ni inkuru nziza ko Callixte Mbarushimana yatawe muri yombi n'ubuyobozi bw'ubutabera bw'Ubufaransa. 
Good news in the sense that, first, there was an international arrest warrant against him issued by the Rwandan government in respect of (the alleged) act of genocide committed in Rwanda in 1994."	Amakuru meza mu buryo bw'uko, mbere, hari icyemezo mpuzamahanga cyo kumuta muri yombi cyatanzwe na guverinoma y'u Rwanda ku bijyanye n'igikorwa (nk'uko bivugwa) ku bijyanye na Jenoside yakorewe Abatutsi mu Rwanda mu 1994.
Karugarama said the Hague-based court sought the arrest of the former rebel leader who was believed to be hiding in France.	Karugarama yavuze ko urukiko ruherereye i La Haye rwasabye guta muri yombi uwahoze ari umuyobozi w'inyeshyamba bakekaga ko yihishe mu Bufaransa.
Genocide memorial in Rwanda	Urwibutso rwa Jenoside mu Rwanda
"The International Criminal Court (ICC) conducted its own investigation about his other activities and they found sufficient evidence to support the charge of war crimes and crimes against humanity perpetrated in the DRC and they issued an arrest warrant, which the French judicial authorities have executed."	Urukiko mpuzamahanga mpanabyaha (ICC) rwakoze iperereza ryarwo ku bindi bikorwa bye maze basanga ibimenyetso bihagije byemeza icyaha cy’intambara n’ibyaha byibasiye inyokomuntu byakorewe muri DRC maze batanga icyemezo cyo kumuta muri yombi, inzego z’ubutabera z’Ubufaransa zikaba zarakoze.
The Hague-based court accused Mbarushimana and other rebels in the FDLR of using violence against unarmed civilians as their main tool in a campaign to forcefully obtain political power for the rebel group.	Urukiko rufite icyicaro i La Haye rwashinje Mbarushimana n'abandi bigometse muri FDLR kuba barahohoteye abaturage badafite intwaro nk'igikoresho cyabo nyamukuru mu gikorwa cyo gushaka ingufu za politiki ku mutwe w'inyeshyamba.
