eng	nya
In Tanzania, Hope Rises for a Better Journalism Climate 	Chiyembekezo cha kuti atolnkhani azigwira bwino ntchito yawo chikula ku Tanzania
Tanzanias president has called for a review of the East African countrys media laws and regulations, saying she wants to ensure measures "to protect journalists and open more space for freedom of expression and the media." 	Pulezidenti wa dziko la Tanzania wati malamulo ndi malangizo a ofalitsa nkhani a m'maiko a ku m'mawa kwa Afrika awunikidwenso kuti pakhale njira zotetezera ufulu wa olemba zochitika komanso kupereka ufulu woyankhula ndi wofalitsa nkhani.
Samia Suluhu Hassan delivered her remarks on Tuesday, World Press Freedom Day, at a gathering of journalists, government officials and others in Arusha, in northern Tanzania, according to The East African newspaper. 	Nyuzi pepala ya ku m'mawa kwa Africa yati a Samia Suluhu Hassan anena izi lachiwiri, patsiku lokumbukila ufulu wa atola nkhani pa dziko lonse ku msonkhano wa atolankhani, akulu akulu a boma ndi ena womwe unachitikira ku Arusha, kumpoto kwa dziko la Tanzania. 
Maxence Melo Mubyazi, an award-winning journalist in Tanzania, said he takes this as an encouraging sign after "lots of arrests, lots of attacks on the press" in recent years. 	Maxence Melo Mubyazi, yemwe anawina mphoto ya olemba nkhani ku Tanzania wati ichi ndi chilimbikitso pamene "atolankhani akhala akumangidwa ndi kuukiridwa" zaka zamm'buyozi.
"We welcome this kind of political will from the president to review the current draconian laws in the country," said the founding editor of the online discussion platform Jamii Forums, who has himself endured arrests and jail time. 	 "Talirandira ganizo la boma lofuna kuwunikanso malamulo opondereza m'dziko muno," yemwe anakhazikitsa malo a zokambirana pa intaneti otchedwa Jamii Forums, yemwenso anamangidwapo ndi kukakhala ku ndende, ananeza izi.
He told VOA Wednesday he hoped this would ensure "that at least we have frameworks in place and we dont go by the presidential decree." Melo was alluding to Hassans predecessor, John Magufuli, president from 2015 until his death in March 2021 at age 61. 	Iwo anawuza VOA lachitatu kuti ali ndi chiyembekezo kuti pakhala kuonetsetsa kuti "tili ndi ndondomeko zathu osati kutsatira malamulo a pulezidenti." A Melo amatanthauza a John Magufuli, omwe anali pulezidenti a Hassan asanakhale pa mpando kuchoka m'chaka cha 2015 kufikira nthawi yomwe anamwalira mu March 2021 ali ndi zaka 61 
During Magafulis tenure, journalists were often arrested for critical coverage of government and political dissent was discouraged. Tanzanias ranking in Reporters Without Borders annual press freedom index plummeted from 71st to 124th over five years beginning in 2016. 	Mu nthawi ya ulamuliro wa a Magufuli, olemba nkhani amamangidwa kamba kolemba nkhani zotsutsa boma. Kuchoka m'chaka cha 2016, dziko la Tanzania linachoka pa nambala 71 kufika pa nambala 124 mu zaka zisanu kuchoka mu 2016 pa ndandanda wa ufulu wa atola nkhani padziko lonse, Reporters Without Boarders.
Reporters Without Borders noted in its latest report that Magufuli "had become increasingly authoritarian and hostile" toward media and that Hassans rise to power has "brought initial hopeful signs that have yet to come to fruition." 	Lipoti lomwe Peporters Without Boarders latulutsa lapeza kuti a Magufuli "amachita ulamuliro wankhanza" kwa ofalista nkhani pomwe ulamuliro wa a Hassan wabweretsa chiyembekezo choti zinthu zikhoza kusintha. 
In February, Hassans administration lifted bans on four media outlets: Mseto, Mawio, Mwanahalisi and Tanzania Daima. They had been shuttered for offenses related to their coverage of alleged corruption, according to Amnesty International. 	Amnesty International yapeza kuti m'mwezi wa February, boma la a Hassan linachotsa chiletso ku malo anayi owulutsira nkhani omwe ndi: Msetso, Mawio, Mwanahalisi ndi Tanzania Daima. Malowa anatsekedwa kamba ka milandu yokhudzana ndi kuulutsa nkhani za katangale.
And Hassan has instructed the Ministry of Information, Communication and Information Technology to work with media stakeholders and others on reviewing laws and possibly loosening restrictions. 	A Hassan alangiza unduna wa zofalitsa nkhani, mauthenga, ndi mauthenga a pa kompyuta kuti agwire ntchito limodzi ndi wofalitsa nkhani ndi ena powunikanso malamulo ndi kuchotsa ziletso. 
Melo is among those being asked to weigh in on what he calls "draconian" measures such as the 2015 Cybercrimes Act and 2016 Media Services Act. 	A Melo ndi m'modzi mwa omwe akufunsidwa kuti afananitse zina mwa ndondomeko zopondeleza monga milandu ya pa intaneti, 2015 Cybercrimes Act ndi 2016 Media Services Act.
"Ive been part of the team that has been reviewing the laws," said Melo, who had previously felt their bite. He was convicted in April 2020 of obstructing police investigations, and paid a fine of 3 million Tanzanian shillings, or $1,300, rather than face a year behind bars, according to the Committee to Protect Journalists. 	"Ndinakhalapo gawo la gulu lowunika malamulo" anatero a Melo omwe anakumanapo ndi zotsatira zake. Iwo anamangidwa mu April m'chaka cha 2020 pa mlandu wosokoneza kafukufuku wa apolisi ndipo analipira chindapusa cha ndalama zokwana 3 miliyoni Tanzanian Shilings yomwe ili 1,300 US dollars m'malo mokakhala kundende kwa chaka chimodzi. Izi zatsimikidwa ndi komiti yoteteza wolemba nkhani ya Committee to Protect Journalists.
CPJ, which honored Melo with its 2019 International Press Freedom Award, noted that the "charge stemmed from Melos alleged refusal to disclose the identities of whistleblowers on the Jamii Forums platform. 	CPJ, yomwe inapereka mphatso ya pa tsiku lombukira ufulu wa atola nkhani padziko lonse m'chaka cha 2019 kwa a Melo yati a Melo anamangidwa kamba kokana kuulura mayina a anthu omwe amawatsina khutu pa tsamba la pa intaneti la Jamii Forums. 
Melo told VOA that Jamii Forums, founded as a for-profit business, now is a nongovernmental organization. "We are focusing on good governance, accountability and democracy," he said. 	A Melo awuza VOA kuti tsamba la pa intaneti la Jamii Forums lomwe cholinga chake poyamba chinali kuchitirapo malonda, tsopano lakhala bungwe loyima palokha. Iwo anati, "chidwi chathu chili pa ulamuliro wabwino, kukhulupirika komanso ufulu."
Since Hassan took office, Melo said, "people on the cyberspace can now at least criticize the government or critically analyze whatever kind of statement that comes from any political figure. … At the moment, journalists are now writing stories that could not be written in the past six years." 	Kuchokera nthawi yomwe a Hassan analowa m'boma, a Melo ati, "tsopano anthu akhoza kuyankhula zotsutsana ndi boma komanso kutsutsa zomwe zanenedwa ndi akulu akulu ena a ndale pa intaneti. Tsopano wolemba nkhani akhoza kulemba nkhani zomwe sizikanalembedwa mu zaka zisanu ndi chimodzi zapitazo."
When it comes to news media, "indeed, the environment is slowly opening up," agreed Roland Ebole, an Amnesty International researcher. Based in Nairobi, he monitors Tanzania and Uganda. 	Kukambapo za wofalitsa nkhani, wofufuza za Amnesty International, a Roland Ebole ati, "inde mpata ukupezeka pang'onopang'ono." Iwo amakhala ku Nairobi komwe amayang'anira Tanzania ndi Uganda.
Amnesty praised Tanzanias lifting of the newspaper ban in February but also said the government "must do more to guarantee media freedom going forward." 	Amnesty yayamikira dziko la Tanzania pochotsa chiletso cha nyuzipepala m'mwezi wa February komanso yawuza boma kuti "likuyenera kuchita zambiri potsimikizira kuti ufulu wa wofalitsa nkhani ukupita patsogolo."
A free press, Ebole told VOA, "would mean Tanzanians looking into the future with most hope in terms of expressing themselves and getting information – and information that would benefit them in all aspects of their lives, whether its economic, social and cultural." 	Mtolankhani oyima payekha, a Ebole awuza VOA kuti, "ufulu wa atola nkhani ukutanthauza kuti nzika za ku Tanzania ziziyang'ana tsogolo lawo ndi chiyembekezo choyankhula za kukhosi kwawo ndi kupeza mauthenga omwe angawapindulire m'mbali zonse za moyo wawo kuphatikizapo zachuma, maubale ndi chikhalidwe."
"We are somehow optimistic," Melo said of journalists and rights activists. But, he cautioned, "the laws are still there, really draconian laws. If they are not amended, they can be used by anyone who is against us." 	"Mwa njira ine ndife osakayika" anatero a Melo ponena za wolemba nkhani ndi womenyera ufulu. Koma iwo achenjeza kuti, "malamulo omwe alipo ndi opondereza omwe aja. Ngati sakonzedwa, malamulowa akhoza kugwiritsidwa ntchito ndi aliyense yemwe akufuna kuukira."
Separately, a Tanzanian government spokesman told VOA that measures could be loosened - to a point.	Mneneri wa boma la Tanzania wauza VOA mwapadera kuti ndondomekozi zitha kuchepetsedwako mphamvu.
"You cannot have a profession without rules to govern, like a tire moving without any control," spokesman Greyson Msigwa said in a recent interview. "We must reach a place that we all agree that we need to protect the interests of media and the people as well." 	"Palibe ntchito yopanda malamulo ake, zili ngati teyala longoyenda popanda oliyendetsa," anatero mneneri Greyson Msigwa. "Tonse tigwirizane kuti tikuyenera kuteteza zofuna za wofalitsa nkhani ndi anthu."
	
	
Extremist Rebels Launch Deadly Attack in Northeast Nigeria 	Owukira otsutsa ayambitsa zawuchifwamba zowopsa ku mpoto kwa dziko la Nigeria.
Islamic extremist rebels have killed at least seven people in an attack in northeast Borno state in Nigeria, witnesses told The Associated Press on Wednesday. 	Asilamu owukira otsutsa apha anthu osaposera asanu ndi awiri pa ziwawa za ku mpoto kwa Borno state ku Nigeria, omwe anaona izi awuza atola nkhani a The Associated Press lachitatu.
