eng	pcm
Ekiti police nab 2 serial burglars	Ekiti Police don catch 2 big tif.
The Ekiti State Police Command Rapid Response Squad (RRS) has arrested two persons, Abbar Wasiri and Aribisala Timileyin, for burglary along Adebayo area of the state capital.	Di Rapid Response Squad (RRS) for Etiki Police Command don arrest two pipo, Abbar Wasiri and Aribisala Timileyin, say dem go thief for Adebayo area wey dey di capital of di state.
The suspects stole N210,000 and other valuables, when they burgled three different houses on Monday, at about 1:30 am.	Dem tif N210,000 and some plenti things wey dey valuable, as dem enta three house for Monday around dat kain 1:30am.
The police said on May 9, 2021, at about 1:30pm, one Barrister Ayo Oguntuase, in Ado-Ekiti, came to the RRS office, Ado-Ekiti, and reported that some unknown persons burgled his office and two other houses at night in Adebayo Area, Ado-Ekiti, on May 8, and made away with N210,000 cash, two sets of computer system and many other items.	Di police tok say for May 9, 2021, around 1:30pm, one pesin wey be Barrister Ago Oguntuase for Ado-Ekiti, kom di RRS office wey dey Ado-Ekiti kom repot give dem  say some pipo wey im no sabi kon tif for im office and dem tif for two house join for dat night for Adebayo area for Ado Ekiti, for May 8 and dem carry N210,000, two computa and plenti tins go.
The police command said upon the receipt of the information, the RRS operatives immediately moved into action and arrested the two suspects based on intelligence gathered.	Dem Police  as dem hear di information, di RRS go arrest di two pipo wey dem dey think say na dem do am as per wetin dem don hear before.
The Police Public Relations Officer (PPRO), ASP Sunday Abutu, said during interrogation, the two suspects confessed to the crime and led operatives to their houses where items such as 265 different types of children and adult clothes, 14 pairs of children and adult canvas shoes, two complete sets of computers, one ceiling fan, and two law report books belonging to different complainants were recovered.	Di PRO for Police (PPRO), ASP Sunday Abutu, wen dem dey follow am took, tok say di two pipo don gree say na dem do di tin and dem carry di police go dia house wey dem see 265 cloth wey be for pikin and adult dem, 14 canvas wey be for pikin and adult, two computa wey dey complete, one ceiling fan and two law report book wey be for different different complain pipo kolet back
Abutu added that a further investigation revealed that one of the suspects, Abbar Wasiri, is one of the security guards employed to guard one of the places burgled.	Abutu still tok say as dem touch line di mata more more dem kom see say one of di pipo wey dem catch na be sekuriti wey dem kolet to dey guard wia  dem go thief.
According to the PPRO, investigation is ongoing and when concluded, the suspects shall be charged to court.	As di PPRO don tok, dem still dey touch line di mata and wen dem do finish, dem go carry di pipo go court.
Meanwhile, the Ekiti State Commissioner of Police, Mr. Tunde Mobayo, has called on everyone in the state to be security-conscious and promptly report any strange and suspicious persons found in their environs to the police.	Mellawella, Di Oga Commissioner for di Police for Ekiti State, Mr.Tunde Mobayo, don call evribodi for di state to dey sekuriti conscious and make dem dey tell di police if dem see pesin wey dem no sabi for dia area.
	
Five matches that won Atletico Madrid La Liga title	Five match wey make Atletico Madrid win La Liga.
Atletico Madrid won the La Liga for the second time in eight years on Sunday as a 2-1 victory over Real Valladolid crowned them Spanish champions.	Atletico Madrid don win di LA Liga for di second time for inside eight years on Sunday as dem win 2-1 over Real Valladolid wey make dem be di Champion for Spain.
Here are five matches that secured Atletico the title: Atletico Madrid 1-0 Barcelona, November 21	Na di five match wey make Atletico be Chapoion for Spain be dis:Atletico Madrid 1- 0 Barcelona, for November 21
