eng	xho
In Tanzania, Hope Rises for a Better Journalism Climate	ETanzania, Ithemba liyakhula malunga nesimo esingcono sobuntatheli.
Tanzanias president has called for a review of the East African countrys media laws and regulations, saying she wants to ensure measures "to protect journalists and open more space for freedom of expression and the media."	Umongameli waseTanzania ucele ukuba kuqwalaselwe imithetho nemigaqo yemithombo yeendaba yamazwe aseMpuma Afrika, esithi ufuna ukuqinisekisa amanyathelo "okukhusela iintatheli kunye nokuvula indawo enkulu yokuthetha ngokukhululekileyo kunye neendaba."
Samia Suluhu Hassan delivered her remarks on Tuesday, World Press Freedom Day, at a gathering of journalists, government officials and others in Arusha, in northern Tanzania, according to The East African newspaper.	USamia Suluhu Hassan wenze intetho yakhe ngoLwesibini, iWorld Press Freedom Day, kwindibano yeentatheli, amagosa karhulumente kunye nabanye eArusha, kumantla eTanzania, ngokutsho kwephephandaba iThe East African.
Maxence Melo Mubyazi, an award-winning journalist in Tanzania, said he takes this as an encouraging sign after "lots of arrests, lots of attacks on the press" in recent years.	UMaxence Melo Mubyazi, intatheli ephumelele ibhaso eTanzania, uthe ukuthatha oku njengophawu olukhuthazayo emva “kokubanjwa okuninzi, uhlaselo oluninzi kumaphephandaba” kule minyaka idlulileyo.
"We welcome this kind of political will from the president to review the current draconian laws in the country," said the founding editor of the online discussion platform Jamii Forums, who has himself endured arrests and jail time.	“Siyalwamkela olu hlobo lwentando yezopolitiko evela kumongameli yokuphonononga imithetho engqongqo kweli lizwe,” utshilo umhleli weqonga leengxoxo kwi-Intanethi, iJamii Forums, naye onyamezele ukubanjwa nokuvalelwa entolongweni.
He told VOA Wednesday he hoped this would ensure "that at least we have frameworks in place and we dont go by the presidential decree.	Uxelele iVOA ngolwesiThathu ukuba unethemba lokuba oku kuya kuqinisekisa ukuba "ubuncinci sinesikhokelo esikhoyo kwaye asihambi ngommiselo kamongameli.
Melo was alluding to Hassans predecessor, John Magufuli, president from 2015 until his death in March 2021 at age 61.	UMelo wayebhekisa kumanduleli kaHassan, uJohn Magufuli, umongameli ukusukela ngo-2015 de wasweleka ngoMatshi ka-2021 eneminyaka engama-61.
During Magafulis tenure, journalists were often arrested for critical coverage of government and political dissent was discouraged.	Ngexesha likaMagafulis, iintatheli zazihlala zibanjwa ngenxa yokubhala ingxelo egxekayo ngorhulumente kwaye ukuchasana kwezopolitiko kwakungavumelekanga.
Tanzanias ranking in Reporters Without Borders annual press freedom index plummeted from 71st to 124th over five years beginning in 2016.	Inqanaba leTanzania kwiiReporters Without Borders ngonyaka lihle ukusuka ku-71 ukuya kwi-124 kwiminyaka emihlanu ukususela ngo-2016.
Reporters Without Borders noted in its latest report that Magufuli "had become increasingly authoritarian and hostile" toward media and that Hassans rise to power has "brought initial hopeful signs that have yet to come to fruition."	IReporters Without Borders iphawule kwingxelo yayo yamva nje yokuba u-Magufuli "uye wanda ngamandla kwaye enobutshaba" kumajelo eendaba kwaye nokuba u-Hassan anyukele emandleni "kuzise imiqondiso yokuqala yethemba engekafezeki."
	
In February, Hassans administration lifted bans on four media outlets: Mseto, Mawio, Mwanahalisi and Tanzania Daima.	NgoFebruwari, ulawulo lukaHassan lususe ukuvalwa kwemithombo yeendaba ezine: iMseto, iMawio, iMwanahalisi kunye neTanzania Daima.
They  had been shuttered for offenses related to their coverage of alleged corruption, according to Amnesty International.	Babevalelwe ngenxa yezityholo zorhwaphilizo, ngokutsho kweAmnesty International.
And Hassan has instructed the Ministry of Information, Communication and Information Technology to work with media stakeholders and others on reviewing laws and possibly loosening restrictions.	Kwaye u-Hassan uye wayala uMphathiswa wezoLwazi, uNxibelelwano kunye neTeknoloji yoLwazi ukuba asebenze nabachaphazelekayo beendaba kunye nabanye ngokuphonononga imithetho kwaye mhlawumbi ikhulule izithintelo.
Melo is among those being asked to weigh in on what he calls "draconian" measures such as the 2015 Cybercrimes Act and 2016 Media Services Act.	UMelo uphakathi kwabo bacelwe ukuba baphonononge amanyathelo awabiza ngokuba “yidraconian” afana nomthetho i-Cybercrimes Act ka-2015 kunye noMthetho weeNkonzo zeMedia ka-2016.
Ive been part of the team that has been reviewing the laws, said Melo, who had previously felt their bite.	“Ndibe yinxalenye yeqela ebeliphonononga imithetho,” utshilo uMelo owayekhe wakuva ngaphambili ukulunywa yilemithetho.
He was convicted in April 2020 of obstructing police investigations, and paid a fine of 3 million Tanzanian shillings, or $1,300, rather than face a year behind bars, according to the Committee to Protect Journalists.	Wafunyaniswa enetyala ngo-Epreli ka-2020 ngokuthintela uphando lwamapolisa, kwaye wahlawula imali ezizigidi ezi-3 zeerandi zaseTanzania, okanye i-1,300 yeedola, kunokuba ajongane nonyaka entolongweni, ngokutsho kweKomiti yokukhusela iintatheli.
CPJ, which honored Melo with its 2019 International Press Freedom Award, noted that the "charge stemmed from Melos alleged refusal to disclose the identities of whistleblowers on the Jamii Forums platform.	I-CPJ, ewonge uMelo ngembasa ye-International Press Freedom Award ka-2019, iphawule ukuba “isityholo sibangelwe kukwala kukaMelos ukubhengeza izazisi zabo babetha ikhwelo kwiqonga le-Jamii Forums.
Melo told VOA that Jamii Forums, founded as a for-profit business, now is a nongovernmental organization.	UMelo uxelele iVOA ukuba iJamii Forums, eyasekwa njengeshishini elenza inzuzo, ngoku ingumbutho ongekho phantsi korhulumente.
We are focusing on good governance, accountability and democracy, he said.	“Sigxile kulawulo olululo, uxanduva nedemokhrasi,” utshilo.
