english	yoruba
---‘Boca de Rua': The Brazilian newspaper produced entirely by people living on the street	---‘Boca de Rua': Ìwé ìròyìn ilè brazil láti ọwọ́ àwọn ènìyàn tí ó ń gbé ní ojú òpópónà
After 19 years, Boca is still telling stories from the street	Lẹ́yìn ọdún 19, Boca ṣì ń ròyìn nípa àwọn olùgbé títì
Marcos Scher selling the paper at traffic lights before the pandemic. Photo: Charlotte Dafol/Used with permission	Marcos Scher ń ta ìwé ìròyìn náà nínú ìdádúró iná adarí ọkọ̀ kí àjákálẹ́ àrùn ó tó bẹ̀rẹ̀. Àwòrán: Charlotte Dafol/ a gba àṣẹ kí a tó lò ó
Nineteen years ago in Porto Alegre, in southern Brazil, a newspaper made entirely by people living on the streets was created.	Ní ọdún mọ́kàndínlógún sẹ́yìn ní Porto Alegre, ní gúúsù orílẹ̀-èdè Brazil, ìwé ìròyìn kan tí àgbáríjọ àwọn tí wọn ń sun ìta àdúgbò ẹsẹ̀kùkú náà bẹ̀rẹ̀ iṣẹ́ ìròyìn títẹ̀ jáde.
Boca de Rua (Mouth of the Street, also known as Boca) newspaper was ideated by a group of journalists who wanted to provide this community with the tools to speak for themselves.	Boca de Rua (Ẹnu Asùnta, tí a tún mọ̀ sí ìwé ìròyìn Boca) jẹ́ ọgbọ́n orí ọ̀wọ́ àwọn akọ̀ròyìn kan láti pèsè ọ̀nà tí àwọn asùnta àdúgbò yìí fi lè máa fi sọ̀rọ̀ fún ara wọn.
The project was conceived in 2000 and a year later, during the first meeting of the World Social Forum, the first edition of Boca was launched.	Ní ọdún 2000 ni wọ́n bẹ̀rẹ̀ iṣẹ́ àkànṣe yìí, lẹ́yìn ọdún kan lásìkò ìpàdé àkọ́kọ́ Ẹgbẹ́ Àwùjọ Àgbáyé, ni wọ́n ṣe ìfilọ́lẹ̀ àkọ́kọ́já ewé rẹ̀.
Today, the newspaper is the only member of the International Network of Street Papers (INSP) created entirely by people living on the streets.	Ní òní, ìwé ìròyìn yìí nìkan ni ó jẹ́ ọmọ ẹgbẹ́ Àwọn Ìwé Ìròyìn Ẹsẹ̀kùkú Àgbáyé (INSP) tí àwọn ẹni tí ó ń sùnta ń ṣe jáde.
The ideas for stories, interviewees and questions are all developed by the community itself.	Àwọn asùnta wọ̀nyí tìkara wọn ni ó pilẹ̀ àwọn ọgbọ́n ìkọ̀tàn, ìfọ̀rọ̀wánilẹ́nuwò àti ti ìbéèrè.
Two journalists, who have been with the project since the beginning, are responsible for designing every new issue.	Àwọn akọ̀rọ̀yìn méjì kan tí wọ́n ti ń tì kín àwọn asùnta wọ̀nyí lẹ́yìn láti ìgbà tí iṣẹ́ àkànṣe náà ti bẹ̀rẹ̀ ni wọ́n máa ń ṣe gbogbo àwọn àtẹ̀jáde tuntun.
A group of volunteers also helps with support such as recording meetings, guiding the reporters about notetaking, and transcribing notes on the computer.	Ọ̀wọ́ àwọn afínúfẹ́dọ̀ṣiṣẹ́ kan náà máa ń ṣe àtìlẹyìn nípa gbígba ohùn ìpàdé sílẹ̀, níní àwọn ajábọ̀ ìrọ̀yìn níran àwọn ohun tí ó ṣe kókó àti kíkọ ohùn tí a ká sílẹ̀ ní ọ̀rọ̀ sórí èrọ-ayárabíàṣá.
