en	ibo
Do you know the functions of the kindsmen and four other groups in Igbo land?	Ị ma ọrụ ndị ụmụnna na otu anọ ọzọ kachasị mkpa n'ala Igbo?
Seven things Nigerians are remembered for in flights.	Ihe 7 ị ga-eji cheta ndị Naịjirịa ma ị zute ha n'ụgbọelu
The mother of those children Onajite Esharegharan told the police that she heard about the househelp on the OLX website.	Nne ụmụaka aha ya bụ Onajite Esharegharan gwara ndị uweojii na ya nụrụ maka onye nyemaaka n'elu webusait a kpọrọ OLX.
There are also two children kidnapped by their househelp in Shagamu, another kidnap case of three children in Shasha, Lagos.	O nwekwara ụmụaka abụọ ndị odibo tọrọ na Shagamu, ọzọ bụkwa ụmụaka atọ a tọrọ na Shasha na Legos.
Mary Akinloye was kidnapped by their househelp who asked for a ransom of about fifteen million naira from her parents on phone.	Mary Akinloye bụ onye nyemaaka ha tọrọ oge ahụ kpọrọ nne na nna ụmụaka n'elu ekwe ntị na-ajụkwa ha maka ego ntọhapụ ruru nde naira 15.
Many families maltreat their househelps.	Ọtụtụ ezinaụlọ na-emegbu ndị nyemaaka ha
It was in this situation that the police cautioned parents to get to know their househelps and where they live.	O bụ oge okwu pụtara ka ndị uweojii dọrọ ndị nne na nna aka na ntị na ọ dị ezigbo mkpa ka ha maa maka onye ga-abụ nyemaaka na bee onye ọbụla.
As the world is now, lots of families are looking for househelps.	Mana maka ụwa sị dị ugbua, ọtụtụ ezinaụlọ na-achọ onye ga-abụ onye nyemaaka n'ezinaụlọ ha.
The important things while searching for a househelp.	Ihe niile diri mkpa ma ị na-achọ onye nymemaaka
BBC Igbo asked Joke Afolabi the head of the organization in charge of sending househelps called 'Conciege and Home Care Services' about this	BBC Igbo gbara otu nwaanyi aha ya bụ Joke Afolabi bụ onyeisi ụlọọrụ na-ezipu ndị ọrụ nyemaaka a kpọrọ 'Conciege and Home Care Services' ajụjụọnụ gbasara okwu a.
Afolabi said that it is true her organization sends out househelps to different families, but they ensure that all their staff are trust worthy.	Afolabi kwuru na ọ bụ eziokwu na ụlọọrụ ha na-ezipu ndị mmadụ dịka ndị nyemaaka gawa ụlọ dị iche iche mana ha na-agba mbọ hụ na ndị niile a tinyere n'ọrụ bụ marị ihe a chọrọ n'ụwa.
Another person Christanah Akindolie who is a counsellor told news men that it is very important to be an observant and a curious person.	Onye ọzọ aha ya bụ aha bụ Christanah Akindolie bụ onye ọrụ ndụmọọdụ gwara onye ntaakụkọ anyị na ọ dị ezigbo mkpa ka ị bụrụ onye na-edo anya, onye nwere ọchịchọ ịmata ihe niile.
Seven questions you should ask anybody that wants to be your aid	Ajuju asaa ịkwesiri ịgba onye ọbụla chọrọ ịbụ onye nyemaaka gị
strive that it is not a child who is your aid	Gba mbọ hụ ọbụghị nwatakịrị bụ onye nyemaka gị
