en	lug
Why don't they want to accept the people of Uganda do not trust them to do the job?	Lwaki tebaagala kukkiriza nti bannayuganda tebabeesiga kukola mulimu ogwo?
Only three National Resistance Movement officials Rebecca Kadaga, Ofwono Opondo and Fred Ruhindi attended the workshop.	Abakulu mu National Resistance Movement basatu bokka Rebecca Kadaaga, Ofwono Opondo ne Fred Ruhindi be beetaba mu musomo.
Basajja could represent Uganda in boxing contest.	Basajja yandikiikiridde Uganda mu mpaka z'ebikonde.
The hides and skins businessman showed fellow delegates to the party meeting at Namboole that he is also endowed with kick boxing skills.	Omusuubuzi w'amaliba n'ebirenge yalagako banne ku nkiiko z'akabaga e Namboole nti naye yali alina obukugu mu bikonde.
He descended on a New Vision photo journalist, Arthur Kintu and punished him with disciplinary punches.	Yayogedde ku kifaananyi kya munnamawulire mu New Vision, Arthur Kintu n'amuyigiriza empisa.
The journalist who was at Namboole to cover the NRM conference was punched for taking pictures of Basajjabalaba on September 6.	Munnamawulire eyali e Namboole okukwata olukiiko lwa NRM yakubwa ebikonde olw'okukuba Basajjabalaba ebifaananyi mu Gwomwenda 6.
The Kabaka was blocked from accessing any of the counties in his kingdom.	Kabaka yagaanibwa okugenda mu ssaza lyonna mu bwakabaka bwe.
As any of the twenty three men who were arrested a year ago in connection with the Buganda riots of September 2009 will tell you.	Nga omu yenna ku basajja abiri mu abasatu abaakwatibwa omwaka gumu emabega ku byekuusa ku butabanguko mu Buganda nga 2009 Ogwomwenda bajja kukugamba.
That is what happened to the twenty three men who were charged with terrorism over the torching of Nateete Police post.	Ekyo kye kyatuuka ku basajja abiri mu abasatu abaavunaanibwa ogw'obutujju olw'okulumba poliisi y'e Nateete.
Justice Benjamin Kabiito advised the men who saw their second application for bail frustrated, to wait in Luzira for their trial to commence.	Omulamuzi Benjamin Kabiito yawa abasajja amagezi abataali bamativu n'okugaanibwa kw'okusaba kwabwe okwokubiri okugaanibwa nti balinde okuwulira omusango gwabwe kutandike e Luzira.
The High Court in Kampala has ordered the maverick Minister of Trade and Industry, Kahinda Otafiire, to file his defence.	Kkooti enkulu mu Kampala eragidde Minisita w'ebyobusuubuzi n'amakolero, Kahinda Otafiire, okussaamu okwewozaako kwe.
Moses Mapesa, who was suspended by Boysier Mubballe early last month for alleged insubordination dragged the Minister to court.	Moses Mapesa, eyagobwa Boysier Mubbale ku ntandikwa y'omwezi oguyise ku bigambibwa nti yagyemera ebiragiro  yatwala Minisita mu kkooti.
Ignatius Koomu, displays results he collected during the NRM primaries at Uganda Journalists Association office in Kampala on September 13.	Ignatius Koomu, alaga bye yakungaanya ebyava mu kamyufu ka NRM ku woofiisi z'ekibiina kya bannamawulire mu Kampala nga 13 Ogwomwenda.
A vendor reaps big from end of the Ramadhan month by selling snacks near praying Muslims on Idi Day at Katwe Mosque.	Omutembeeyi afuna nnyo ku nkomekerero y'omwezi gw'ekisiibo ky'Abasiraamu ng'atunda obumpwankimpwanki okuliraana Abasiraamu we basaalira ku lunaku lwa Idi ku muzikiti gw'e Katwe.
Justice Yorokamu Bamwine directed that the Minister who failed to appear in court on September 13 must file his defence by September 22.	Omulamuzi Yorokamu Bamwine yalagira nti minista eyalemererwa okulabikako mu kkooti nga 13, Ogwomwenda nti alina okussaamu okwewozaako kwe nga 22 Ogwomwenda.
Kirunda is too broke to pay Katuntu.	Kirunda mwavu nnyo era tasobola kusasula Katuntu.
Apparently, Kirunda Kivejinja is too broke to pay Abdul Katuntu, who he owes fourty million shillings arising out of an election petition.	Mu kiseera kino, Kirunda Kivejinja mwavu nnyo era tasobola kusasula Abdul Katuntu amubanja obukadde bwa siringi ana obwava ku kujulira mu kalulu.
Kivejinja lost the petition and appealed in the Court of Appeal where he also lost, increasing the costs to fourty million shillings.	Kivejinja yawangulwa mu kujulira ne yeekubira enduulu mu kkooti ejulirwamu gye yawangulirwa ne kyongera omuwendo okutuuka ku bukadde ana.
However, since the March 16, 2007 court ruling, Kirunda has never paid costs of the suit and has since asked for more time to be able to pay.	Newankubadde, okuva ku nsala ya kkooti eya nga 12, Ogwokusatu, 2007, Kirunda tasasulanga ssente zaamulagirwa wabula yasaba okwongezebwa obudde okusobola okusasula.
Kirunda's lawyer Muzamir Kibeedi told the Registrar of the Court of Appeal, Deo Nizeyimana, on September 13 that his client was willing to pay.	Munnamateeka wa Kirunda Mazamir Kibeedi yagamba omuwandiisi wa kkooti ejulirwamu, Deo Nizeyimana, nga 13 Ogwomwenda nti omuntu we mwetegefu okusasula.
Nizeyimana agreed with the lawyer and gave the minister more time to pay.	Nizeyimana yakkiriziganya ne munnamateeka n'awa minisita obudde obulala.
This does not only appear in the Ugandan press but also in international media.	Kino tekyeyolekera mu mawulire ga Uganda gokka wabula ne mu mawulire g'ensi yonna.
In the United States of America elections, President Obama was portrayed as a family man.	Mu kulonda kwa United States of America, Pulezidenti Obama yannyonyolwa ng'omusajja owa famire.
Today in Uganda's media it is common to read about women being hit, raped or killed by their male counterparts.	Mu mawulire ga Uganda aga leero, kyeyoleka nnyo okusoma ku bakazi abakubibwa, abasobezebwako n'okuttibwa abaami baabwe.
Fred Bamwine has been a resident district commissioner in Kampala for the last seven years.	Fred Bamwine abadde mubaka wa pulezidenti mu Kampala okumala emyaka musanvu emabega.
Lubwama's salary has enabled him to send his children to school and buy himself a bicycle.	Omusaala gwa Lubwama gumusobozesezza okutwala abaana be ku ssomero n'okwegulira eggaali.
Platics are recycled it into raw material for plastic companies in Uganda and in countries such as China and Malawi.	Pulasitiika biddamu okusaanuusibwa n'akolebwamu ebintu ebikozesebwa mu makolero mu Uganda n'ensi nga China ne Malawi.
The 2009/10 budget vowed to punish the manufacture, use and importation of plastic bags.	Embalirira ya 2009/10 yeewera okubonereza bannamakolero, abakozesa n'okugula pulasitiika okuva wabweru w'eggwanga.
Statements like the Lords Resistance Army soldiers should come out and get better medical treatment from government should be made.	Sitatimenti ng'abasirikale ba Lords Resistance Army balina okuvaayo ne bafuna obujjanjabi obulungi okuva mu gavumenti zirina okukolebwa.
It will not be free and fair unless the current Electoral Commission is dissolved and reconstituted.	Tekajja kuba ka mazima na bwenkanya okuggyako ng'akakiiko k'ebyokulonda akaliwo kayiiriddwa ne kalondebwa buto.
Otunnu made bitter attacks on President Museveni's government for neglecting the health sector.	Otunnu yakola obulumbaganyi obukambwe ku gavumenti ya Pulezidenti Museveni olw'obutafa ku byabulamu.
Uganda People's Congress did not participate in the electoral process under the current Electoral Commission.	Uganda People's Congress teyeetaba mu kulonda wansi w'akakiiko k'ebyokulonda akaliko.
Yona Kanyomoozi is taking a different direction from the party's position.	Yona Kanyomoozi akola bintu birala ebyawukana kw'ebyo ebisalibwawo ekibiina kye.
He stopped the Uganda People's Congress from participating in the Constituent Assembly.	Yagaana Uganda People's Congress okwetaba mu lukiiko ttabamiruka.
Kanyomoozi told the Independent about Obote's big mistake of pulling out of the Inter Party Cooperation.	Kanyomoozi yategeezezza Independent ku nsobi ya Obote ey'okuva mu mukago ogutaba ebibiina byobufuzi.
The Uganda People's Congress stood to avoid the elections in two thousand eleven.	Uganda People's Congress yasalawo okwewala akalulu mu nkumi bbiri mu kkumi na gumu.
Sospater Akwenyu had earlier indicated he would stand but last week he said he had pulled out of the race.	Sospater Akwenyu yasooka n'alaga nti yanti ajja kwesimbawo naye wiiki ewedde yagamba nti avudde mu lwokaano.
The choice was for Ugandans to choose between dishonest rigged elections or to participate in the struggle for freedom.	Okusalawo kwali kwa Bannauganda okulondako wakati w'okulonda okutali kwa mazima oba okwetaba mu kulwanirira eddembe
In one thousand nine hundred eighty nine, Kanyomoozi issued an order stopping UPC from participating in the Museveni government.	Mu lukumi mu lwenda mu kinaana mu mwenda, Kanyomoozi yayisa ekiragiro ekikomya UPC okwetaba mu gavumenti ya Museveni.
Otunnu faces riot as Uganda People's Congress officials disobey to the call to avoid the two thousand eleven elections.	Otunnu asanga okwegugunga nga abakungu ba Uganda People's Congress bagaana okuva mu kaluluka nkumi bbiri mu kkumi na gumu.
Kanyomoozi and Akena rejected the posts of Special Presidential Envoy and National Vice Chairman in the UPC President's Office.	Kanyomoozi ne Akena baagaanye ebifo by'omuwabuze wa Pulezidenti n'omumyuka wa ssentebe wa mu woofiisi ya Pulezidenti wa UPC.
His arguments suggest the Uganda People's Congress president is only acting under influence.	Mu kwogera kwe alaga nti Pulezidenti wa Uganda People's Congress akola ng'aliko gw'akolera.
The Democratic Party is Uganda's oldest political party but currently it has only ten members of parliament.	Democratic Party kye kibiina ky'ebyobufuzi ekisinga obukulu mu Uganda naye mu kiseera kino kirina bammemba ba paalamenti kkumi bokka.
The youths are the biggest segment of Uganda's voting population.	Abavubuka kye kitundu ekisinga obunene mu balonzi ba Uganda.
Democratic Party held its Kampala delegates conference to choose the party's flag bearers in the district.	Democratic Party yategeka olukiiko ttabamiruka mu Kampala okulonda abagikwatira bendera mu disitulikiti.
"""SSUUBI"", referred to the pressure group that was created to campaign Buganda votes for the Interparty Cooperation in two thousand eleven."	"""SSUUBI"", etwalibwa ng'omugendo eyatondebwawo okunoonya obululu mu Buganda okuva mu mukago ogutaba ebibiina by'ebyobufuzi mu nkumi bbiri mu kkumi na gumu."
The party is not happy with the pressure group for joining with Inter Party Cooperation, which Democratic Party refused to join.	Ekibiina si kisanyufu n'omugendo okwegatta ku mukago ogutaba ebibiina by'ebyobufuzi, ng'ate Democratic Party yakigaana.
Most leaders in the district were from Democratic Party.	Abakulembeze abasinga baali bava mu Democratic Party.
He defeated Democratic Party's official candidate, former deputy Mayor Hasib Takuba Kabuye.	Yawangula omukungu wa Democratic Party, eyali omumyuka wa mmeeya, Hasib Takuba Kabuye.
He is understood to have won more due to his association with Kizza Besigye.	Amanyikiddwa mu kuwangula ennyo olw'enkolagana ye ne Kizza Besigye.
Kawempe Division is led by Nasser Takuba Kibirige.	Ebbendobendo ly'e Kawempe likulemberwa, Nasser Takuba Kibirige.
Erias Lukwago left Norbert Mao's party.	Erias Lukwago yava mu ekibiina kya Norbert Mao.
Lukwago did not participate and the party flag went to Eddie Yawe, who is known more for his music than politics.	Lukwago teyeetabaamu era bendera y'ekibiina n'eweebwa Eddie Yawe, amanyikiddwa ennyo olw'ennyimba ze okusinga ebyobufuzi.
He is unsure which seat he will stand for, following the takeover of Kampala city by the central government.	Takakasa kifo ki ky'ajja okwesimbako, oluvannyuma lw'ekibuga Kampala okutwalibwa gavumenti eya wakati.
In the two thousand eleven general elections, the ruling party will be competing against the opposition.	Mu kulonda kwa bonna okwa nkumi bbiri mu kkumi na gumu, ekibiina ekiri mu buyinza kijja kuba kivuganya n'abooludda oluvuganya.
It indicates that National Resistance Movement cannot organise free and fair elections.	Kiraga nti National Resistance Movement tesobola kutegeka kalulu ka mazima na bwenkanya.
The opposition accuse the Electoral Commission of being in favour of the ruling National Resistance Movement.	Oludda oluvuganya gavumenti luvumirira eky'akakiiko k'ebyokulonda okutiitiibwa National Resistance Movement eri mu buyinza.
It's the attempt to impose outside solutions on Africa’s internal problems that has confused our continent.	Okugezaako okukozesa enkola ez'ensi z'ebweru okugonjoola ebizibu by'omu Afirika kye kiviiriddeko obutabanguko ku ssemazinga waffe.
In the case of Somalia, the biggest threat to the evolution of an effective state has been the United States.	Ekisinze okulemesa eggwanga lya Somalia okutereera ye Amerika
United States involvement in Somalia began with the 1991 intervention that was largely a humanitarian gesture.	Amerika lwe yasooka okuyingira mu nsonga za Somalia mu 1991 okusingira ddala yalina kigendererwa kya kuyamba bantu baali bakoseddwa.
However, when America shifted its mandate from humanitarian intervention to peace enforcement, it got entangled in a war with Mohammed Aideed.	Naye Amerika bwe yava ku kigendererwa ekyo n'eyingira mu nsonga ez'okuzzaawo emirembe, yatandika okulwanagana ne Mohammed Aideed.
This led to the death of eighteen Americans in the famous “black hawk down” battle in Mogadishu that caused a United States withdrawal.	Ekyo kyaviirako Abamerika kkumi na munaana okufiira mu lutalo olwali e Mogadishu, ekyawaliriza Amerika okubiggyamu enta.
Had America allowed Aideed to militarily capture the whole country of Somalia, Somalia would have emerged more stable and effective.	Singa Amerika yaleka Aideed okuwamba ensi ya Somalia yonna, Somalia teyandibaddemu butabanguko bungi era yanditebenkedde.
The American position was reinforced by the international humanitarian groups and their ill-informed and misguided African chorus singers.	Endowooza n'ebiruubirirwa bya Amerika byeyongera okutumbulwa ebibiina ebirwanirira eddembe ly'obuntu n'abayimbi abaali batamanyi byonna bizingirwamu era abaali babuzaabuziddwa.
They looked at that country’s problem from a purely humanitarian perspective and missed the vital importance of effective military control of Somalia.	Baalowooza nnyo ku ddembe ly'obuntu ne babuusa amaaso obukulu bw'okuba n'eggye erikuuma eddembe mu Somalia.
I harbour a fundamental disagreement with democracy and human rights groups in Africa.	Nze ku lwange, sikkiriza nti enkola ya demokulasiya awamu n'ebibiina ebirwanirira eddembe ly'obuntu biyamba Afirika.
Democracy exists in stable and effective states, not in anarchy.	Demokulase ayamba nsi ezatebenkera edda, so si ezo ezikyalimu obusambatukko.
What Somalia needs is a military strongman with  organisational ability to gather resources , bribe and persuade other military and civilian groups together.	Somalia kye yeetaaga ye munnamagye ow'amaanyi alina obusobozi obw'okukumaakuma abantu n'okusendasenda amagye amalala.
In the mid 2000s, the Islamic Courts Union grew and spread rapidly, establishing order over large parts of the country.	Mu makkati g'emyaka gya 2000, ekibiina ky'eby'obufuzi ekiyitibwa Islamic Courts Union kyakula era ne kibuna mu bitundu bingi ebya Somalia, ne kireetawo obutembenkevu mu bitundu bingi eby'eggwanga eryo.
However, post 11th September America was scared of anything Islamic and thus saw the Islamic Courts Union as an enemy.	Naye oluvannyuma lw'ebyo ebyaliwo nga Ssebutemba 11, Amerika yatandika okwekengera ennyo ekintu kyonna ekyalimu Abayisiraamu, bwe kityo ekibiina ekyo yali ekitwala ng'omulabe.
It financed Ethiopia to dislodge them from power.	Yassa ssente mu Esiyopiya esobole okuggyako ekibiina ekyo obuyinza.
From the ashes of their defeat emerged the Al-Shabaab with largely terrorist intentions rather than a desire to build a strong state.	Okugwa kw'ekibiina ekyo kwaviirako ekibiina kya Al-Shabaab okutandikibwawo ng'okusingira ddala kyettanira bikolwa bya bwannalukalala mu kifo ky'okuzimba eggwanga eritebenkedde.
America should have worked with Islamic Courts Union to create a stable state in Somalia.	Amerika yandibadde ekolera wamu n'ekibiina kya Islamic Courts Union okuleetawo obutebenkevu mu Somalia.
