eng	luo
South Africa’s Standard Bank, an affiliate of ICBC, was also going to fund the project but announced in 2017 it was pulling out, saying it had started reducing its carbon footprint annually as much as possible. 	Standard Bank ma South Africa, ma otudore gi ICBC, bende ne owinjore ochiw pesa migerogo kambi ma lamu, kata kamano, ne gilando ni giwalore e wachno e higa mar 2017 ka giwacho ni gidwaro dwoko piny higa ka higa, pesa ma gichiwo mitiyogo e weche maka mar kidi.
“We reduce our own carbon footprint as much as possible each year. We have funded far more renewable energy generation than coal-fired power. We will apply very stringent conditions to any future funding of non-renewable energy,” said the bank.	"“Higa ka higa, watimo kar nyalowa mondo wadwok piny pesa ma wachiwo kendo matiyo e weche mag maka mar stima.Wasiro kembe mang'eny moloyo maloso stima gi yore ma ok chid muya kopim gi kembe ma wasiro matiyo gi maka mar kidi. Bengino ne owacho niya, "" Wabiro rido chik ahinya ne kambi moro amora matiyo gi maka mar kidi e kinde mabiro.”"
The African Development Bank (AfDB) had at some point also considered financing the plant, while America’s General Electric (GE) was to provide what it termed “clean coal technology,” which would bring down pollution.	Kinde moro mokalo bengi mar The African Development Bank kata AfDB ne paro mar chiwo pesa migerogo kambi ma Lamu, to kambi miluongo ni  America’s General Electric kata GE ne onego ochiw gima iluongo ni “teknoloji mar maka mar kidi ” teknolojini ne dhi dwoko chien chilo ma maka mar kidi ne dhi kelo.
Both entities, however, have since ditched plans to fund the project as well as other coal projects around the world going forward. 	Riwruoge ariyogi osewalore e wach holo kambi ma Lamu pesa, kendo gise walore e chenro mamoko mag siro weche maka mar kidi e piny mangima chakre sani.
Newly elected United States President Joe Biden following his inauguration early this year underscored the seriousness of the threat posed by the continued exploitation of unclean energy sources such as coal by signing a treaty that saw America rejoin the Paris Agreement.	Matin, bang' kane osekete e kom, e chak higani, Ker ma Amerka, Joe Biden ne oketo seyi e winjruok moro ma ne omiyo Amerka odonjo kendo e Paris Agreement. Okang' ma ne okawono ne onyiso kaka wach tiyo gi gik machido muya kaka maka mar kidi ketho alwora e okang' maduong' kendo kelo chandruok.
He also reversed his predecessor Donald Trump’s decision to exit the binding international treaty on climate change. 	E wi mano, ne otimo mopogore gi Ker ma ne otelone, Donald Trump kendo ne odwoko Amerka e winjruok ma tweyo pinje duto mondo girit chal mar kor yamo.
The US also intends to cut carbon emissions in half by 2030.	Amerka bende nigi chenro mar dwoko chien gi nus chilo duto mar kabon chop higa mar 2030.
Such moves have meant entities involved in projects responsible for the massive production of greenhouse gases have to change tack. 	Chenro ma kamano nyiso ni kembe duto magolo kabon mang'eny nyaka lok yoregi mag tich.
National Environmental Complaints Committee (NECC) secretary John Chumo said the institution is advocating for companies to embrace “the new world order” and move to green energy.	John Chumo, Jatelo mar National Environmental Complaints Committee kata NECC ne owacho ni riwruok margi jiwo kembe mondo oluw chenro ma nyasani mar tiyo gi gik ma ok chid muya.
“If you want to finance energy, finance clean energy,” he said.	Ne owacho niya: “Ka idwaro chiwo pesa ma konyo e loso stima, ne ni kambi maloso stimano ok chid alwora.”
“Sustainable development is where you can balance between development and conservation. If it is negative to the environment, then that is not development,” added Mr Chumo.	Mr Chumo ne owacho niya: “Dongruok mosiko, nyalo mana bedoe ka dongruok timore to koni alwora ok kethi. Kapo ni dongruok moro ketho alwora, mano ok en dongruok.”
Concerns over the damage that mining, transportation and manufacturing have on the environment have seen lenders pull out of projects.	Kinde moko, nikech gik ma kembe timo ma chido alwora,  riwruoge ma holo pesa osewalore e  chenro masiro kembego. Ginyalo bedo kembe makunyo kite mag nengo, kembe mochung' ne gige wuoth kata kembe maloso gik.
Thomas Reuters Foundation recently reported that 263 charities have urged banks not to finance a $3.5 billion (Sh374 billion) oil pipeline that links Uganda to the Tanzanian coast.	Riwruok mar Thomas Reuters Foundation nyocha owacho ni riwruoge 263 mochiwore ne konyo oganda, osekwayo bengi mondo kik gichiw dola bilion 3.5 kata bilion 374  milosogo paip mar mo mawuok Uganda nyaka dho wath ma Tanzanian.
They are concerned that the project could lead to the loss of community land and livelihoods, contribute to environmental destruction and cause a surge in carbon emissions.	Giwacho ni chenrono nyalo miyo oma ji lowo kendo gilal yoregi mag yuto kendo nyalo ketho alwora kendo dhi medo muya mar kabon.
France’s Total and China National Offshore Oil Corporation are due to start work on the 1,445km pipeline from western Uganda through neighbouring Tanzania to the Indian Ocean port of Tanga.	Total mar France kod National Offshore Oil Corporation ma China onego ochak loso paip ma borne en kilomita 1,445 wuok yo podho chieng' ma Uganda nyaka Tanzania ma chop e pot ma Tanga e Indian Ocean.
Over the past year or so, digital transformation accelerated at an unprecedented rate in societies around the world. 	Gimoro higa achiel kama mokalo, gik mitimo e intanet osemedore matamre ginono e piny mangima.
Whether we were working, learning, or staying in touch with friends and family, being online became more critical than ever. 	Bed ni idwaro tiyo, idwaro puonjori gimoro, kata idwaro tudri gi osiepeni kata joodu, intanet ne dwarore.
Even as vast numbers of people were adapting to their new realities, it became increasingly apparent that equally large numbers of people were shut out from being able to do so. 	Kata obedo ni ji mang'eny ne ochako ng'iyo gi wach tiyo gi intanet, ne nitie ji mang'eny ma bende ne ok nyal timo kamano.
"Given that the theme of this year’s Telecommunication & Information Society Day, which took place on 17 May, is ""Accelerating Digital Transformation in challenging times,"" it’s worth examining how big that gap is and how it can be bridged."	"Bedo ni Mei tarik 17 higani ne en  Telecommunication & Information Society Day. Kendo wich maduong' ma ne iwuoyoe ne en  ""Kaka Wanyalo Medo Timo Dongruok Mapiyo e Tiyo gi Intanet e Kinde Matekgi,"" ber ng'eyo ni gin ji adi ma ok nyal yudo intanet, kendo kaka inyalo konygi yudo intanet."
In Sub-Saharan Africa, for example, approximately 800-million people are not connected to the mobile internet.	Kuom ranyisi, e pinje man Sub-Saharan Afrika, chiegni ji milion 800 ok otud gi intanet mar simu.
Of those, some 520-million can access the mobile internet but don’t, because of factors such as smartphone penetration and lack of skills while 270-million cannot access the mobile internet because they don’t have the requisite coverage. 	Ji milion 520 kuomgi nyalo yudo intanet mar simu to pod ok giyud, seche moko nikech gionge simbe manyasani, kata smartphone kata gikiya tiyo gi intanet to ji milion 270 ok nyal yudo intanet nikech intanet pok ochopo kama gintie.
Across the region, 4G broadband coverage is at just 21 percent.	Pasent 21 mar  alworano duto ema yudo  intanet mar 4G broadband.
The figures are even more stark when it comes to fixed-line internet connectivity. 	Joma nigi intanet mosiko motudnegi e ot, tin nyowuoyo!
According to figures from research firm Ovum, there are just 6.6-million fixed-line internet subscriptions in Sub-Saharan Africa.  	Kaluwore gi Ovum, riwruok matimo nonro, kwan joma nigi intanet motudnegi e ot kendo gichulo dwe ka dwe e Sub-Saharan Africa en mana ji milion 6.6.
A total of 433 million litres of petrol were imported through OTS for the April-May cycle.	Ne okel petrol ma romo lita milion 433 e pachoka kokalo kuom OTS mondo otigo e alap ma April-Mei.
M-Pesa, and even pay our bills using digital money. 	M-Pesa, kendo chulo gik moko ka watiyo gi pesa manie akaunt.
The other form of currency, which has been introduced in the country, but has not been fully accepted is cryptocurrency. 	Kit pesa machielo, ma osechak tigo e pinywa kae, to pok orwake chuth chuth e chenro mar pes ma dijitol mar cryptocurrency.
This means that with Sh1000, you can decide to buy shares at the Nairobi Securities Exchange. 	Mae nyiso ni ka in-gi siling' 1000, inyalo yiero mar ng'iewo shares e Nairobi Securities Exchange.
“You simply store the value of money in the shares. So, when you buy 100 shares of Safaricom using Sh1,000, that means the value of your money is in the shares that you have bought,” said Bichiang’a.	Bichiang'a nowacho ni, “Ikano nengo mar pesani e shares. Omiyo kitiyo gi siling' 1,000 e ng'iewo shares 100 mag Safaricom, mano nyiso ni nengo mar pesani nie shares ming'iewogo.”
According to Bichiang’a, money can also be an idea. 	Kaluwore gi Bichiang’a, pesa nyalo bedo paro.
For one to make money, one needs to come up with an idea that can generate money. 	Mondo ng'ato olos pesa, onego okel paro ma inyalo tigo e loso pesano.
And this is where creativity kicks in. 	To mano e kama lony mar loso gimoro kitiyo gi paro mochiw donjoe.
Wealth can be determined by how much one is able to generate.	Mwandu luwore gi okang' ma ng'ato parogo kendo tiyo gi parono.
He said even M-Pesa money transfer platform itself was an idea that has made Safaricom one of the biggest companies in East and Central Africa.	Nowacho ni kata mana wach oro pesa kitiyo gi M-Pesa ne en paro ma osemiyo jo Safaricom obedo achiel kuom kembe madongo e East kod Central Africa.
“By coming up with an idea, it means the idea can now fade and earn income which can then be stored in properties or invaluable means of owning wealth,” Bichiang’a said.	Bichiang'a nowacho kama, “Ka ikelo paro moro, parono nyalo kelo yuto ma inyalo tigo e loso mwandu kata inyalo ket yutogo e chenro malich miwuoro mag loso mwandu.”
Nairobi motorists will pay Sh126.37 per litre for petrol after the Energy and Petroleum Regulatory Authority (EPRA) increased prices by Sh3.56 per litre.	Jo apiko ma Nairobi biro chulo siling' 126.37 e lita ka lita mar petrol bang' ka migawo mar Energy and Petroleum Regulatory Authority (EPRA) medo nengo gi siling' 3.56 kuom lita ka lita.
It is, however, a relief for Diesel and Kerosene consumers with prices unchanged.	Kata kamano, joma tiyo gi Diesel kod mafuta mar taya to onwang'o yieyo nikech nengo gigo ok oloki.
Diesel in Nairobi will, from midnight, retail at Sh107.66 per litre while Kerosene will be sold at Sh97.85 per litre.	Chakre sa auchiel otieno, nengo Diesel ei Nairobi biro bedo siling' 107.66 kuom lita achiel to mafuta mar taya ibiro us siling' 97.85 kuom lita.
In Mombasa, petrol will retail at Sh123.95 per litre while Diesel and Kerosene will go for Sh105.27 and Sh95.46 per litre respectively.	E boma ma Mombasa, nengo petrol nobed siling' 123.95 kuom lita to Diesel gi mafuta mar taya ibiro us siling 105.27 kod  siling' 95.46 kuom lita ka lita.
In a statement, EPRA said the average landed cost of imported petrol decreased by 0.57 per cent from US$491.50 per cubic metre in March 2021 to US$488.69 per cubic metre in April 2021.	Ka ne  jo EPRA wuoyo e wachno, ne giwacho ni osuru mar kelo petrol e pachoka ne odok piny gi pasent 0.57 kowuok e dola ma Amerka ma romo 491.50 kuom lita alufu e dwe mar Mach 2021 nyaka dola ma Amerka ma romo 488.69 kuom lita alufu e dwe mar April 2021.
Last month, the regulator bowed to pressure from the public to retain prices of fuel in the April-May adjustments.	Dwe mokalo, migepe ma chiko nengo gik moko ne ok oloko nengo fuel e alap ma April-May bang' nikech raia nokwer matek mokalo wach medo nengo.
Prices of petrol, diesel and kerosene remained unchanged at Sh122.81 in Nairobi, diesel Sh107.66 and kerosene at Sh97.85 for the one month to May 14	 Nengo petrol, diesel, kod mafuta mar taya ne odong' kaka ne gin ei Nairobi kuom dwe achiel nyaka Mei tarik 14, ka petrol en siling' Sh122.81, diesel siling' 107.66 to mafuta mar taya siling' 97.85.
When it retained April-May prices at the same level as March-April, Epra and  the Petroleum Ministry had brokered a deal with oil marketing companies to slash their margins. 	Ka ne giweyo nengo ma April-Mei ochalre gi ma Mach-April, EPRA kod migawo mar mafuta e pachoka mong'ere kaka Petroleum Ministry nowinjore gi kembe ma uso mafuta mondo odwok nengo maggi piny.
Thehe oil firms were later compensated by the National Treasury.	Bang'e migawo mar weche pesa ma pachoka mong'ere kaka National Treasury nochulo kembe mag mafutago.
The companies took a Sh4.44 cut per litre of petrol. 	Kembego nong'ado siling' 4.44 kuom lita achiel mar petrol.
The cut was less on Kerosene at Sh3.47 and diesel at Sh2.28 per litre. 	Ne ging'ado pesa matin ne mano e mafuta mar taya kod diesel, ka gikawo siling' 3.47 kuom lita ka lita mar mafuta mar taya to diesel gikawo siling' 2.28 kuom lita ka lita.
In all, it is estimated that the total amount taken form the marketers was Sh1.34 billion.	Ka ogo kwanno duto, to pesa duto ma ne okaw kuom jousogo dirom bilion 1.34.
While Treasury refunded the lost margins in the course of last month, there was an extra cost of Sh0.50 per litre of fuel, said to be the administrative cost of processing and disbursing the compensation to the oil marketing companies.	Kata obedo ni migawo mar weche pesa ne ochulo pesa ma jousogo ne olalo dwe mokalo, ne nitiere pesa momedore ma romo siling' 0.50 kuom lita ka lita mar mafuta, ma wachore ni ofis ne otiyogo e iko kendo kowo pesa ma ne ochul kembe ma uso mafutago.
The marketers and the petroleum Ministry had at an April 15 meeting agreed that the Sh0.50 per litre was a prudent cost incurred in the delivery of petroleum products to Kenyans and would be recovered during the May-June pricing cycle	Jousogo kod migawo mar mafuta nowinjore e romo moro ma ne gitimo April 15 ni siling' 0.50 kuom lita ka lita-no ne en pesa ma notigo kare e keyo ne jo Kenya mwandu molos gi mafuta kendo ni ne idhi dwoke kiseto nengo gik moko e alap ma Mei-Jun
