en	tsn
He has actually relaxed the numbers for gatherings and religious gatherings and that is a potential risk.	O tlogetse palo ya dikokoano le dikokoano tsa sedumedi mme seo ke kotsi e kgolo
As long as they follow precautions I think that’s the key thing.	Fela fa e le gore ba latela dikgato, ke akanya gore seo  ke selo se se botlhokwa.
So it really comes down to individuals taking responsibility, individual church leaders following protocols.	Ka jalo e boela morago mo bathong gore ba tsaye maikarabelo, baeteledipele ba kereke ba latelang ditaelo.
Stead adds: I’m concerned about on-site alcohol consumption.	Stead o tlaleletsa ka gore: Ke tshwenyegile ka Thekiso ya nnotagi kwa mafelong a go nna.
From the hospital perspective, there is no doubt that when people are drinking they [are] not social distancing.	Go tswa ponong ya bookelong, ga go na pelaelo ya gore fa batho ba nwa ga ba [ba]  kgone go katologana.
Their masks are off.	Ba tlhobola dithibanko le molomo tsa bona
Pubs and shebeens are probably the places where social distancing happens the least.	Diphapo le dišebini e ka nna mafelo a go katologana go diriwang go le gonnye.
We are concerned that its likely that alcohol is going to be flowing fairly freely during Easter and that we may see a couple of weeks later COVID-19 numbers increasing.	Re tshwenyegile gore go na le kgonagalo ya gore nnotagi e tla bo e nwewa  bonolo fela ka nako ya Paseka mme re tla bona palo ya Khorona e oketsega morago ga dibeke di le mmalwa.
President Cyril Ramaphosa has paid tribute to legendary news anchor Noxolo Grootboom, who presented her last news bulletin on Tuesday evening after 37 years.	Moporesidente Cyril Ramaphosa o lebogile mogaka wa mmega dikgang Noxolo Grootboom, yo o neng a buisa dikgang la bofelo mo maitseboeng a Labobedi morago ga dingwaga di le 37.
Earlier, the presidency postponed the President’s address to the nation on the COVID-19 Easter weekend restrictions by half an hour to allow South Africans to watch Grootboom do what she does best for the last time.	Le gale, ofisi ya Moporesidente e buseditse puo ya setšhaba ya Moporesidente morago mo go kiletso ya bofelo jwa beke ya Paseka ka ga Khorona ka seripa sa ura e le nngwe go letla maAforika Borwa go bogela Grootboom  a dire se a se dirang go gaisa la bofelo.
Ramaphosa says the news anchor was outstanding in her service to the nation.	Ramaphosa a re mmega dikgang yo o ne a dira tirelo e ntle mo setšhabeng.
I wish to pay tribute to Miss Grootboom as an outstanding journalist who throughout her 37 years of distinguished service bought historic events in our country and across the world into the living rooms our nation.	Ke rata go akgola Mohumagatsana Grootboom jaaka mmegadikgang yo o gaisang yo nako yotlhe ya gagwe ya dingwaga di le 37 a dira tirelo  e e kwa godimo a tlisa meletlo ya hisetori ya rona ya mo nageng le go ralala lefatshe lotlhe mo diphaposing tsa rona.
We wish Miss Grootboom well and thank her for her many years service, he added.	Re rata gape go leboga Mohumagatsana Grootboom sentle le go leboga tirelo ya gagwe ya dingwaga di le dintsi, a tlaleletsa.
Grootboom has been trending on social media with many South Africans wishing her well in her retirement.	Go ne go buiwa ka Grootboom mo mafaratlhatlheng le  MaAforika Borwa a mantsi a mo lakaletsa masego mo go roleng tiro ga gawe.
Her colleagues have also bid farewell to the news icon who is best known for her sign off, ndinithanda nonke emakhaya.	Badirammogo ba gagwe ba  laetse sentle segaka sa mmegi dikgang yo o neng a  itsege thata ka polelo ya go tswala, ke le rata lotlhe kwa magaeng
A farewell fit for a queen.	Tsamaiso e ntle go Kgosigadi.
Imagine one day telling your children: One day long ago, the president at the time wanted to talk to Mzansi, but then he moved his time so that your gogo, the TV Queen of News, could first read her TV news bulletin one final time on the public broadcaster.	Akanya ka letsatsi le le lengwe o tlhalosetsa bana ba gago: ka letsatsi le le lengwe, , moporesidente wa nako eo o ne a batla go bua le Mzansi, fela o ne a diegisa nako ya puo gore nkoko wa gago, Kgosigadi ya bobegakgang, a ka bega dikgang tsa telebishene lwa bofelo mo kgasong ya bosetshaba.
You are a legend.	O mogaka.
Its not just what you have done behind that camera for over 30 years, it is also your beautiful heart.	Ga se gore o dirile ka fa morago ga khamera go feta dingwaga tse 30, gape ke pelo ya gago e ntle.
Enjoy retirement but may the nation never actually let you retire. Redi Tlhabi, March 30, 2021	Itumelele go rola tiro ga gago, mme a setšhaba se sa go letlelele go rola tiro. Redi Tlhabi, Mopitlwe 30, 2021
A reassuring voice even in uncertain times.	 lentswe le le gomotsang le ka dinako tse boima.
Thank you Mam Noxolo Grootboom.	Ke a leboga Mme Noxolo Grootboom.
You have set the bar high.	O dirile go tlala seatla.
Enjoy your retirement, you have earned it .	Itumelele go rola tiro ga gao. O dirile ka natla.
