en	twi
Some people enter marriage fully believing that life will be like a fairy-tale romance.	Sɛ nnipa bi rekɔ aware a, wɔn adwene nyinaa ne sɛ asetena bɛyɛ ɔdɔ nko ara.
Commenting, the MD of Stanbic Bank and President of the Ghana Bankers Association, Alhassan Andani said because the financial sector acts as a nerve of the economy, it is important that it is well managed.	Stanbic Bank kwankyerɛfoɔ panin ne Ghana Sikakorabea Kuo panin, Alhassan Andani kaa sɛ ɛnam sɛ sika nkorabata na yɛ ɔman no sikasɛm no ntini nti no ɛho hia sɛ ɔyɛ no yie.
Everyone charged with a penal offence has the right to be presumed innocent until proved guilty according to law in a public trial at which he has had all the guarantees necessary for his defence.	Asɛm ɑ obi di nɑ odi mu fɔ mɑ wɔtwe n'ɑso no wɔremfɑ nto onipɑ biɑrɑ so gye sɛ wɔnɑm mmɑrɑ so ɑdi onii no ɑsɛm wɔ n'ɑkyigyinɑfo ɑnim ɑbu no fɔ ɑnsɑ.
My husband is a man of few words. But I’m used to my family.	Me kunu mpɛ kasa.
The teacher was worried by Asamoah's frequent absence from class.	ɛhaw no sɛ na mpen pii na no ɔnni sukuu no mu
The crocodile’s jaw is a surprising combination of power and sensitivity.	Ɛwom, dɛnkyɛm apantan yɛ den na ɛtumi bubu nnompe mpo mu, nanso ne nkatedeɛ ano yɛ nam ma enti ɔtumi sɔ adeɛ mu dɛkyɛdɛkyɛ.
The new debt figure brings Ghana’s debt to Gross Domestic Product (GDP) ratio to 70.2% as of the end of March 2021.	Ƹka foforɔ yi de ɛka a Ghana de nyinaa toto GDP ho a ɛyɛ 70.2% wɔ Ɔbɛnem 2021 awieɛ.
You are always late. You look worn out.	Wotaa ka akyi. Asɛ wabrɛ.
A man accused of trying to stab Mali's interim president, Assimi Goïta, last week has died in hospital while under guard, the government says.	Aban no ka sɛ, dapɛn a etwaam no, ɔbarima bi a wɔbɔɔ no sobo sɛ ɔrebɔ mmɔden apir ɔmampanyin, Asasimi Gota, bere a na ɔhwɛ ne ho so no awu wɔ ayaresabea.
As for her changes of mood, those baffle me! And another thing​—when I cook, she becomes so critical, especially of the way I clean my hands on the dishcloth.	Na mente sɛnea ne su taa sakrasakra no ase! Ade foforo nso ne sɛ—sɛ menoa aduan a, ɔkasa ho dodo, titiriw sɛnea mede ntamasin a yɛde popa nkyɛnsee mu popa me nsa no
Bullies want to know that they’ve succeeded in making you feel bad about yourself	Sɛ asisifo yɛ wo biribi na wohu sɛ ahaw wo a, ɛma wɔn ani gye pa ara.
“We don’t want the raw bauxite being taken out of Ghana anymore. We will build a refinery here to refine the bauxite to alumina, take it to VALCO, and get aluminium and you will see the massive increase in value. This is going to be transformational,” the Vice President stated.	“Yɛmpɛ sɛ piaboɔ bɛfri Ghana saa kwa biom. Yɛbɛsi beaeɛ a yɛde bɛdane piaboɔ akɔ senya, yɛwie a yɛde akɔ VALCO na yanya senya ho mfaso pa. Yei bɛsesa nneɛma ani.” sɛnea Ɔmanpanin abɛdiakyire seeɛ.
