fr	bbj
La ville de Mfou a été bouclée par des hommes en tenue.	Msə̌ŋwi kě níŋ tísuŋ Mfu tə só gaə̂ fííí
Ils ont emporté un petit sac contenant ses effets personnels.	Wáp lə yaʼ puə gɔ́ pǒtsə́ mo pə́ ntʉ́m ó
Les autorités administratives judiciaires ainsi que celles de police seront appelées au secours.	Pú kə kê dɔ̌k gɔ̂pnaʼ dɔ̌k nwə dəŋdəŋ ba dɔ̌k mə́kuʼ wáp sɔ̂ʼ ŋkwítə́
La population ne va pas manquer d’apporter son soutien aux efforts des autorités.	Pəláʼ pîŋ ntʉ̂ yáp pû yáp nə́ kwítə́
L’action des forces de l’ordreLe même soir toute la ville de Mfou sera bouclée.	Mfaʼ msə̌ŋwi ghə̂ tə á pə́ á bwâdzʉ̌ bɔ̂ bə tísuŋ Mfǔ ló bə́ â msə̌ŋwì
La police et la gendarmerie supplées par le corps spécial des Esir venus de Yaoundé vont procéder aux contrôles systématiques.	Mə́kuʼ pú a pɛcoʼ tə́ gə́ mə́cwɔ̂ʼ msə̌ŋwi Esir pyə wáp fə́ m Yawude á tám pé ntáʼ tsʉʼ
Ilsvont réussir à ramener intact le sac du patron du ministère public.	Wáp tâʼ tə nə̂ phənyə bə wáp yɔ́ pʉə tâdyə̂ dêkɔmpè
Une bravoure de l'Etat- major du département saluée par le préfet du département de la Mefou et Afamba.	Taʼ faʼ pəpúŋ Etap mazhɔ̂ yə tâdyə̂ pfə́láʼ Mefu Afamba goʼtə
Car depuis plusieurs mois le grand banditisme sévit dans la petite ville de Mfou.	Nə̂kə́lə́ â mŋwə̂ tə jɔ́m páʼ nwə ghaʼcúŋ də tísuŋ Mfu lə
L’on se souvient d’ailleurs de la macabre découverte d’une usine de fabrication des armes artisanales à Nkilzock près de Mfou ».	Pə kámtə́ gaə́ pú lə yɔ̂ taʼ tsʉʼ nənyáp mgâ kɔmdhə́ Nkílzɔk pə́ bə́ŋ Mfù
